GEO_ID,NAME,B15012_001E
0500000US54001,"Barbour County, West Virginia",1992
0500000US54003,"Berkeley County, West Virginia",18290
0500000US54005,"Boone County, West Virginia",1690
0500000US54007,"Braxton County, West Virginia",1617
0500000US54009,"Brooke County, West Virginia",3304
0500000US54011,"Cabell County, West Virginia",17694
0500000US54013,"Calhoun County, West Virginia",756
0500000US54015,"Clay County, West Virginia",610
0500000US54017,"Doddridge County, West Virginia",1150
0500000US54019,"Fayette County, West Virginia",4919
0500000US54021,"Gilmer County, West Virginia",1090
0500000US54023,"Grant County, West Virginia",1212
0500000US54025,"Greenbrier County, West Virginia",5497
0500000US54027,"Hampshire County, West Virginia",2226
0500000US54029,"Hancock County, West Virginia",4057
0500000US54031,"Hardy County, West Virginia",1538
0500000US54033,"Harrison County, West Virginia",11989
0500000US54035,"Jackson County, West Virginia",3857
0500000US54037,"Jefferson County, West Virginia",13601
0500000US54039,"Kanawha County, West Virginia",36429
0500000US54041,"Lewis County, West Virginia",1844
0500000US54043,"Lincoln County, West Virginia",1394
0500000US54045,"Logan County, West Virginia",2577
0500000US54047,"McDowell County, West Virginia",777
0500000US54049,"Marion County, West Virginia",9389
0500000US54051,"Marshall County, West Virginia",4399
0500000US54053,"Mason County, West Virginia",2929
0500000US54055,"Mercer County, West Virginia",8769
0500000US54057,"Mineral County, West Virginia",3132
0500000US54059,"Mingo County, West Virginia",1810
0500000US54061,"Monongalia County, West Virginia",30610
0500000US54063,"Monroe County, West Virginia",1692
0500000US54065,"Morgan County, West Virginia",2498
0500000US54067,"Nicholas County, West Virginia",3164
0500000US54069,"Ohio County, West Virginia",10215
0500000US54071,"Pendleton County, West Virginia",767
0500000US54073,"Pleasants County, West Virginia",647
0500000US54075,"Pocahontas County, West Virginia",1028
0500000US54077,"Preston County, West Virginia",4423
0500000US54079,"Putnam County, West Virginia",10957
0500000US54081,"Raleigh County, West Virginia",10583
0500000US54083,"Randolph County, West Virginia",3905
0500000US54085,"Ritchie County, West Virginia",844
0500000US54087,"Roane County, West Virginia",1421
0500000US54089,"Summers County, West Virginia",1665
0500000US54091,"Taylor County, West Virginia",2215
0500000US54093,"Tucker County, West Virginia",1157
0500000US54095,"Tyler County, West Virginia",944
0500000US54097,"Upshur County, West Virginia",3039
0500000US54099,"Wayne County, West Virginia",4647
0500000US54101,"Webster County, West Virginia",714
0500000US54103,"Wetzel County, West Virginia",1370
0500000US54105,"Wirt County, West Virginia",478
0500000US54107,"Wood County, West Virginia",14085
0500000US54109,"Wyoming County, West Virginia",1558
